latitude,longitude,bikes
49.262487,-123.114397,21
49.274566,-123.121817,4
49.279764,-123.110154,5
49.260599,-123.113504,3
49.264215,-123.117772,15
49.270877,-123.115103,4
49.26893,-123.11813,12
49.271721,-123.104207,11
49.287214,-123.11287,24
49.282409,-123.118541,15
49.287097,-123.118551,8
49.273471,-123.118016,3
49.282758,-123.122092,27
49.28602,-123.116624,15
49.279739,-123.116251,8
49.277483,-123.114279,6
49.275679,-123.116963,4
49.282759,-123.106955,20
49.288444,-123.139203,14
49.289124,-123.12196,13
49.28062,-123.12482,2
49.279938,-123.127478,2
49.273663,-123.127075,2
49.28972,-123.144028,6
49.285253,-123.134356,0
49.283343,-123.131099,9
49.284605,-123.108662,13
49.279821,-123.10802,17
49.278004,-123.105664,7
49.279342,-123.101822,5
49.273833,-123.114373,20
49.28526,-123.141809,18
49.281506,-123.120101,8
49.276115,-123.114496,10
49.272827,-123.147744,10
49.269361,-123.13782,16
49.2653,-123.13811,11
49.262598,-123.138921,2
49.25894,-123.139272,0
49.258763,-123.115392,5
49.266724,-123.104824,20
49.262141,-123.101961,3
49.268269,-123.147885,9
49.275717,-123.142564,21
49.276436,-123.11877,8
49.277844,-123.120942,5
49.265089,-123.119425,11
49.28026,-123.135244,15
49.291909,-123.140713,3
49.293257,-123.138563,6
49.288011,-123.132006,7
49.28117,-123.104419,14
49.283227,-123.120523,25
49.299292,-123.130281,13
49.29534,-123.150433,13
49.294318,-123.148808,2
49.298657,-123.121176,17
49.259183,-123.120126,7
49.263837,-123.105173,3
49.270721,-123.146175,16
49.265605,-123.152566,7
49.267222,-123.153157,3
49.262255,-123.126217,23
49.257654,-123.153212,6
49.25919,-123.148268,1
49.25741,-123.148531,1
49.285953,-123.124066,11
49.280881,-123.130672,9
49.256845,-123.120071,6
49.25849,-123.104799,1
49.258425,-123.100792,8
49.270905,-123.126006,10
49.273568,-123.129935,7
49.277141,-123.122589,2
49.267859,-123.145782,11
49.265336,-123.145823,6
49.267628,-123.127698,9
49.275938,-123.145939,7
49.2756,-123.102661,12
49.284157,-123.099917,9
49.258924,-123.152591,9
49.266774,-123.141135,15
49.273355,-123.154493,23
49.276144,-123.151272,5
49.268339,-123.157443,9
49.284062,-123.095097,4
49.261742,-123.13148,3
49.262206,-123.109091,6
49.27023,-123.10651,9
49.262062,-123.104656,3
49.27033,-123.10275,8
49.258902,-123.109596,1
49.282224,-123.132778,14
49.265071,-123.123864,7
49.265198,-123.131043,6
49.273691,-123.102232,14
49.2685027,-123.0975014,12
49.278529,-123.100017,15
49.288682,-123.11818,10
49.271741,-123.155421,9
49.262822,-123.14338,3
49.263635,-123.099236,0
49.28763,-123.127245,0
49.297933,-123.130758,2
49.258819,-123.131317,0
49.280284,-123.097052,2
49.276294,-123.106534,17
49.277469,-123.081315,11
49.277665,-123.073653,13
49.277436,-123.070427,11
49.280332,-123.070068,4
49.279369,-123.091241,3
49.283992,-123.091206,15
49.274881,-123.069323,6
49.275882,-123.071865,5
49.273777,-123.092723,11
49.265005,-123.079481,18
49.265024,-123.08127,13
49.271377,-123.069416,1
49.268616,-123.069908,2
49.266969,-123.069936,1
49.263242,-123.070521,2
49.261403,-123.070102,5
49.261263,-123.073707,2
49.262242,-123.081459,1
49.262321,-123.09306,3
49.264251,-123.073853,3
49.266751,-123.073501,2
49.270684,-123.073562,5
49.2731,-123.0732,12
49.254667,-123.101389,3
49.256694,-123.096579,2
49.258352,-123.096337,5
49.258817,-123.092797,0
49.26151,-123.089413,0
49.263382,-123.088837,0
49.261353,-123.085333,7
49.264466,-123.085183,5
49.280197,-123.065859,6
49.266725,-123.065925,0
49.261188,-123.066009,4
49.256857,-123.065646,5
49.283986,-123.065264,3
49.257985,-123.083366,5
49.257939,-123.089531,2
49.256496,-123.075426,4
49.283236,-123.070443,8
49.267266,-123.090786,10
49.265242,-123.095577,3
49.265213,-123.090785,2
49.302577,-123.155616,18
49.277595,-123.09583,9
49.279235,-123.087528,6
49.277333,-123.087359,2
49.273103,-123.069892,3
49.261973,-123.09725,2
49.275295,-123.132585,10
49.285871,-123.12105,18
49.284893,-123.128685,2
49.263962,-123.112621,13
49.277615,-123.091654,6
49.282214,-123.114101,11
49.266456,-123.100324,13
49.268216,-123.103168,10
49.284554,-123.111031,13
49.280216,-123.117639,17
49.266314,-123.116011,21
49.280852,-123.084746,5
49.285512,-123.1384,2
49.27821,-123.136972,25
49.281301,-123.139108,13
49.283298,-123.142288,12
49.280787,-123.115271,4
49.266476,-123.109389,18
49.290587,-123.13625,9
49.262835,-123.152626,4
49.256825,-123.105234,1
49.275683,-123.124388,0
49.263518,-123.09568,10
49.28691,-123.128818,5
49.282503,-123.124697,8
49.283749,-123.136133,0
49.262944,-123.148109,7
49.27029,-123.135025,27
49.280427,-123.074082,8
49.279259,-123.119145,3
49.285836,-123.127265,12
49.272969,-123.164325,0
49.27247,-123.185643,18
49.271471,-123.17731,5
49.290112,-123.127062,10
49.263523,-123.155267,3
49.264928,-123.168068,14
49.264483,-123.173926,17
49.264579,-123.18373,8
49.263746,-123.069892,5
49.258761,-123.127071,5
49.268974,-123.190701,3
49.273011,-123.159663,11
49.266924,-123.173849,12
49.264326,-123.164725,5
49.266636,-123.183661,6
49.254818,-123.114785,2
49.268837,-123.177633,2
49.255034,-123.120226,6
49.271044,-123.170661,1
49.252691,-123.101289,3
49.272172,-123.097978,16
49.271082,-123.191458,14
49.27808,-123.130557,0
49.269969,-123.109623,8
49.287528,-123.142139,4
49.28803,-123.142135,5
49.259579,-123.114769,1
49.2890705989865,-123.138407369468,4
49.287782,-123.12395,11
49.28512,-123.11242,12
49.247854,-123.153422,12
49.265939,-123.1129,11
49.261122,-123.097571,10
49.267725,-123.11311,5
49.245135,-123.116098,1
49.274232,-123.129998,10
49.238105,-123.154966,7
49.246243,-123.124373,9
49.249722,-123.104991,5
49.243375,-123.104978,2
49.282087,-123.056909,7
49.283968,-123.061615,8
49.287464,-123.060771,5
49.285575,-123.061575,8
49.251358,-123.115637,5
49.249184,-123.116141,3
49.245535,-123.120496,4
49.289255,-123.132677,19
49.252656,-123.067965,1
49.259469,-123.145718,1
49.277178,-123.13,5
49.291597,-123.129158,4
49.247204,-123.101549,1
49.2856698,-123.1125432,6
49.25094,-123.101306,1
49.280977,-123.035969,4
49.270783,-123.141564,8
